regione,popolazione,eta,eta_class,eta_class2
Calabria,21328,25,"[20,30)",20-29
Sicilia,55493,25,"[20,30)",20-29
Sardegna,15035,25,"[20,30)",20-29
Trentino Alto Adige / Südtirol,11641,26,"[20,30)",20-29
P.A. Bolzano,5919,26,"[20,30)",20-29
P.A. Trento,5722,26,"[20,30)",20-29
Veneto,47442,26,"[20,30)",20-29
Friuli Venezia Giulia,10761,26,"[20,30)",20-29
Emilia-Romagna,41887,26,"[20,30)",20-29
Toscana,33652,26,"[20,30)",20-29
Umbria,8168,26,"[20,30)",20-29
Marche,14600,26,"[20,30)",20-29
Lazio,56857,26,"[20,30)",20-29
Abruzzo,13374,26,"[20,30)",20-29
Molise,3317,26,"[20,30)",20-29
Campania,69828,26,"[20,30)",20-29
Puglia,44292,26,"[20,30)",20-29
Basilicata,6165,26,"[20,30)",20-29
Calabria,22144,26,"[20,30)",20-29
Sicilia,57091,26,"[20,30)",20-29
Sardegna,15499,26,"[20,30)",20-29
Piemonte,40479,26,"[20,30)",20-29
Valle d'Aosta,1136,26,"[20,30)",20-29
Liguria,13579,26,"[20,30)",20-29
Lombardia,98414,26,"[20,30)",20-29
Piemonte,41959,27,"[20,30)",20-29
Valle d'Aosta,1233,27,"[20,30)",20-29
Liguria,14327,27,"[20,30)",20-29
Lombardia,102237,27,"[20,30)",20-29
Trentino Alto Adige / Südtirol,12080,27,"[20,30)",20-29
P.A. Bolzano,6097,27,"[20,30)",20-29
P.A. Trento,5983,27,"[20,30)",20-29
Veneto,49338,27,"[20,30)",20-29
Friuli Venezia Giulia,11415,27,"[20,30)",20-29
Emilia-Romagna,44397,27,"[20,30)",20-29
